Name,Age,Player role
Virat Kohli(C),30,Top order batter
Rohit Sharma,31,Open batter
KL Rahul,28,Open Batter
Hardik Pandya,28,Allrounder
Rishabh Pant(WK),26,Wicketkeeper batter
Ravinder Jadeja,29,Allrounder
Ishan Kishan,26,Wicketkeeper batter
Shradul Thakur,28,Allrounder
Jasprit Bumrah,28,Bowler
Varun Chakravathy,28,Bowler
Mohamed Shami,32,Bowler
