Name,Age,Player role
Temba Bavuma(C),29,Top order batter
Quinton De Kock(WK),26,Wicketkeeper Batter
Reeza Hendricks,27,Batter
David Miller,29,Batter
Aiden Markram,28,Batter
Kagiso Rabada,27,Bowler
Bjorn Fotuin,27,Bowler
Anrich Notje,27,Bowler
Dwayne Pretorius,26,Bowler
Keshav Maharaj,31,Bowler
Tabraiz Shamsi,29,Bowler
