Name,Age,Player role
Eoin Morgan(C),29,Batter
Jos Buttler(WK),29,Wicketkeeper Batter
Dawid Malan,27,Top order batter
Jonny Bairstow,27,Batter
Jason Roy,28,Open batter
Liam Livingstone,27,Allrounder
Moeen Ali,29,Allrounder
Adil Rashid,31,Bowler
Chris Woakes,28,Allrounder
Chris Jordan,28,Bowler
