Name,Age,Player role
Mahmadulla Riyaz(C),31,Allrounder
Mushfiqur Rahim,31,Top order batter
Litton Das(WK),28,Wicketkeeper batter
Mohammad Naim,25,Batter
Afif Hossain,26,Batter
Shakib al Hassan,31,Allrounder
Soumya Sarkar,29,Bowler
Shoriful Islam,27,Bowler
Taskin Ahamed,28,Bowler
Mustafizur Rahman,27,Bowler
Mehedi Hassan,25,Bowler
