Team 1,Team 2,Winning team,Man of the match
India,West indies,India,Virat Kohli(C)
England,India,England,Liam Livingstone
Bangladesh,West indies,West indies,Evin Lewis
West indies,England,West indies,Kieron Pollard(C)
India,Bangladesh,Bangladesh,Mustafizur Rahman
England,Bangladesh,England,Adil Rashid
