Name,Age,Player role
Kieron Pollard(C),34,Allrounder
Chris Gayle,36,Open batter
Evin Lewis,28,Batter
Lendl Simmons,29,Batter
Nicholas Pooran(WK),28,Wicketkeeper batter
Shimron Hetmayar,27,Batter
Andre Russel,31,Allrounder
Dwayne Bravo,32,Allrounder
Jason Holder,28,Allrounder
Ravi Rampaul,33,Bowler
Akeel Hossain,26,Bowler
