Name,Age,Player role
Babar Azzam(C),28,Open Batter
Mohamed Rizwan(WK),28,Wicketkeeper Batter
Shoab Malik,33,Batter
Mohamed Hafeez,33,Batter
Fakhar Zaman,29,Batter
Asif Ali,32,Batter
Shaheen Shah Afrdi,24,Bowler
Imaad Wasim,28,Bowler
Hassan Ali,28,Bowler
Harris Rauf,28,Bowler
Shadab Khan,28,Bowler
